season,week,game_id,team,sack_rate_roll6,qb_hit_rate_roll6,tfl_rate_roll6
2022,15,2022_15_ATL_NO,ATL,0.04097509273979862,0.10800440089680559,0.0
2022,16,2022_16_ATL_BAL,ATL,0.05234360410830999,0.11486840776081243,0.0
2022,17,2022_17_ARI_ATL,ATL,0.05234360410830999,0.10711646977631632,0.0
2022,18,2022_18_TB_ATL,ATL,0.05047619047619048,0.11528640441683918,0.0
2023,1,2023_01_CAR_ATL,ATL,,,
2023,2,2023_02_GB_ATL,ATL,,,
2023,3,2023_03_ATL_DET,ATL,,,
2023,4,2023_04_ATL_JAX,ATL,,,
2023,5,2023_05_HOU_ATL,ATL,,,
2023,6,2023_06_WAS_ATL,ATL,,,
2023,7,2023_07_ATL_TB,ATL,0.05492216117216117,0.18819721944721945,0.0
2023,8,2023_08_ATL_TEN,ATL,0.057699938949938946,0.181252775002775,0.0
2023,9,2023_09_MIN_ATL,ATL,0.062042370711725546,0.22116179071824235,0.0
2023,10,2023_10_ATL_ARI,ATL,0.07830253331335156,0.19196740786532293,0.0
2023,12,2023_12_NO_ATL,ATL,0.07740967617049442,0.17024121738913245,0.0
2023,13,2023_13_ATL_NYJ,ATL,0.08168318044399869,0.17353792068583573,0.0
2023,14,2023_14_TB_ATL,ATL,0.06779429155510981,0.14377601592393097,0.0
2023,15,2023_15_ATL_CAR,ATL,0.062238735999554255,0.12710934925726428,0.0
2023,16,2023_16_IND_ATL,ATL,0.07000456634602976,0.09883376184189192,0.0
2023,17,2023_17_ATL_CHI,ATL,0.07700021769789211,0.12133328916274654,0.0
2023,18,2023_18_ATL_NO,ATL,0.08176212245979687,0.1356190034484608,0.0
2024,1,2024_01_PIT_ATL,ATL,,,
2024,2,2024_02_ATL_PHI,ATL,,,
2024,3,2024_03_KC_ATL,ATL,,,
2024,4,2024_04_NO_ATL,ATL,,,
2024,5,2024_05_TB_ATL,ATL,,,
2024,6,2024_06_ATL_CAR,ATL,,,
2024,7,2024_07_SEA_ATL,ATL,0.029880848590526008,0.1168009919283264,0.0
2024,8,2024_08_ATL_TB,ATL,0.022103070812748232,0.12346765859499305,0.0
2024,9,2024_09_DAL_ATL,ATL,0.016726726726726728,0.09658593816488553,0.0
2024,10,2024_10_ATL_NO,ATL,0.025985985985985987,0.09136276627504697,0.0
2024,11,2024_11_ATL_DEN,ATL,0.02148148148148148,0.08451591942820014,0.0
2024,13,2024_13_LAC_ATL,ATL,0.01971677559912854,0.09255513511447465,0.0
2024,14,2024_14_ATL_MIN,ATL,0.047494553376906314,0.12384168482207697,0.0
2024,15,2024_15_ATL_LV,ATL,0.0627723311546841,0.126966684822077,0.0
2024,16,2024_16_NYG_ATL,ATL,0.07827620712367635,0.15022249877556534,0.0
2024,17,2024_17_ATL_WAS,ATL,0.08092170976917899,0.1493406645603978,0.0
2024,18,2024_18_CAR_ATL,ATL,0.10124691302121151,0.16299920114576363,0.0
2016,1,2016_01_BUF_BAL,BAL,,,
2016,2,2016_02_BAL_CLE,BAL,,,
2016,3,2016_03_BAL_JAX,BAL,,,
2016,4,2016_04_OAK_BAL,BAL,,,
2016,5,2016_05_WAS_BAL,BAL,,,
2016,6,2016_06_BAL_NYG,BAL,,,
2016,7,2016_07_BAL_NYJ,BAL,0.051165146909827756,0.1334149499043116,0.0
2016,9,2016_09_PIT_BAL,BAL,0.06814045555180308,0.14113099928702766,0.0
2016,10,2016_10_CLE_BAL,BAL,0.061343765244474456,0.11827835941311117,0.0
2016,11,2016_11_BAL_DAL,BAL,0.06451836841907764,0.11827835941311117,0.0
2016,12,2016_12_CIN_BAL,BAL,0.06902287292358213,0.1408008819356337,0.0
2016,13,2016_13_MIA_BAL,BAL,0.07485854052395562,0.1300632535509465,0.0
2016,14,2016_14_BAL_NE,BAL,0.07906437921767161,0.1578547758996188,0.0
2016,15,2016_15_PHI_BAL,BAL,0.05247368596031168,0.138386589764766,0.0
2016,16,2016_16_BAL_PIT,BAL,0.049169366166630195,0.14314158654103934,0.0
2016,17,2016_17_BAL_CIN,BAL,0.03012174711901114,0.1344835778830307,0.0
2017,1,2017_01_BAL_CIN,BAL,,,
2017,2,2017_02_CLE_BAL,BAL,,,
2017,3,2017_03_BAL_JAX,BAL,,,
2017,4,2017_04_PIT_BAL,BAL,,,
2017,5,2017_05_BAL_OAK,BAL,,,
2017,6,2017_06_CHI_BAL,BAL,,,
2017,7,2017_07_BAL_MIN,BAL,0.08845500364896917,0.1970121473354232,0.0
2017,8,2017_08_MIA_BAL,BAL,0.065306855500821,0.1853634018157099,0.0
2017,9,2017_09_BAL_TEN,BAL,0.06483404226205033,0.1768527635178376,0.0
2017,11,2017_11_BAL_GB,BAL,0.08096307452011485,0.1939593128824515,0.0
2017,12,2017_12_HOU_BAL,BAL,0.09956426499630533,0.20115177319991182,0.0
2017,13,2017_13_DET_BAL,BAL,0.09086989423296904,0.20660417520403793,0.0
2017,14,2017_14_BAL_PIT,BAL,0.07263737600045081,0.1690666376665004,0.0
2017,15,2017_15_BAL_CLE,BAL,0.079883752812045,0.17226127690602042,0.0
2017,16,2017_16_IND_BAL,BAL,0.07779246348671313,0.18162661605859362,0.0
2017,17,2017_17_CIN_BAL,BAL,0.07118724075245815,0.16365426582817888,0.0
2018,1,2018_01_BUF_BAL,BAL,,,
2018,2,2018_02_BAL_CIN,BAL,,,
2018,3,2018_03_DEN_BAL,BAL,,,
2018,4,2018_04_BAL_PIT,BAL,,,
2018,5,2018_05_BAL_CLE,BAL,,,
2018,6,2018_06_BAL_TEN,BAL,,,
2018,7,2018_07_NO_BAL,BAL,0.13042983132268846,0.18951697969555115,0.0
2018,8,2018_08_BAL_CAR,BAL,0.11016514976768432,0.16718447349207718,0.0
2018,9,2018_09_PIT_BAL,BAL,0.11016514976768432,0.17281683396314731,0.0
2018,11,2018_11_CIN_BAL,BAL,0.10005299679838849,0.15718896119241743,0.0
2018,12,2018_12_OAK_BAL,BAL,0.10103760116645151,0.16452873920888714,0.0
2018,13,2018_13_BAL_ATL,BAL,0.09719000356885392,0.15580126173140968,0.0
2018,14,2018_14_BAL_KC,BAL,0.04280621531409792,0.14111970672727403,0.0
2018,15,2018_15_TB_BAL,BAL,0.04635844265664785,0.16665734113587619,0.0
2018,16,2018_16_BAL_LAC,BAL,0.052768699066904255,0.1643827340225594,0.0
2018,17,2018_17_CLE_BAL,BAL,0.06562750112431258,0.1724298553100988,0.0
2019,1,2019_01_BAL_MIA,BAL,,,
2019,2,2019_02_ARI_BAL,BAL,,,
2019,3,2019_03_BAL_KC,BAL,,,
2019,4,2019_04_CLE_BAL,BAL,,,
2019,5,2019_05_BAL_PIT,BAL,,,
2019,6,2019_06_CIN_BAL,BAL,,,
2019,7,2019_07_BAL_SEA,BAL,0.04842423524628275,0.16353431504667063,0.0
2019,9,2019_09_NE_BAL,BAL,0.038106774928822425,0.13813748964984524,0.0
2019,10,2019_10_BAL_CIN,BAL,0.033687583009630505,0.14255668156903714,0.0
