game_id,season,week,game_date,posteam,defteam,home_team,away_team,fixed_drive,drive_epa,drive_success_rate,drive_posteam_score_start,drive_posteam_score_end,drive_start_yard_line,fixed_drive_result,drive_points
2022_08_CAR_ATL,2022,8,2022-10-30,CAR,ATL,ATL,CAR,6.0,-2.4379883,0.0,3.0,3.0,CAR 19,Punt,0.0
2021_14_LV_KC,2021,14,2021-12-12,KC,LV,KC,LV,7.0,6.168074,0.7,14.0,21.0,KC 20,Touchdown,7.0
2022_13_NO_TB,2022,13,2022-12-05,TB,NO,TB,NO,21.0,5.4087873,0.6153846153846154,10.0,17.0,TB 37,Touchdown,7.0
2022_02_NE_PIT,2022,2,2022-09-18,NE,PIT,PIT,NE,17.0,-3.3958375,0.25,17.0,17.0,50,Punt,0.0
2022_13_NYJ_MIN,2022,13,2022-12-04,NYJ,MIN,MIN,NYJ,7.0,-1.9364411,0.1428571428571428,3.0,3.0,NYJ 25,Punt,0.0
2022_12_NE_MIN,2022,12,2022-11-24,MIN,NE,MIN,NE,15.0,1.3165634,0.3888888888888889,23.0,26.0,MIN 17,Field goal,3.0
2022_11_CIN_PIT,2022,11,2022-11-20,CIN,PIT,PIT,CIN,16.0,-5.376368,0.0,24.0,24.0,CIN 23,Turnover,0.0
2021_18_NE_MIA,2021,18,2022-01-09,MIA,NE,MIA,NE,6.0,-3.0814834,0.0,17.0,17.0,MIA 25,Punt,0.0
2022_14_HOU_DAL,2022,14,2022-12-11,HOU,DAL,DAL,HOU,20.0,-0.7248819,0.375,23.0,23.0,HOU 25,Punt,0.0
2022_04_BUF_BAL,2022,4,2022-10-02,BAL,BUF,BAL,BUF,21.0,0.0,0.4,20.0,20.0,unknown,End of half,0.0
2022_06_BUF_KC,2022,6,2022-10-16,KC,BUF,KC,BUF,15.0,0.6479603,0.3333333333333333,17.0,20.0,KC 46,Field goal,3.0
2022_08_WAS_IND,2022,8,2022-10-30,WAS,IND,IND,WAS,14.0,-2.2018359,0.2,7.0,7.0,WAS 24,Punt,0.0
2022_04_LAC_HOU,2022,4,2022-10-02,LAC,HOU,HOU,LAC,20.0,5.7874646,0.4666666666666667,27.0,34.0,LAC 16,Touchdown,7.0
2022_11_CHI_ATL,2022,11,2022-11-20,ATL,CHI,ATL,CHI,14.0,-3.2670016,0.2,17.0,17.0,ATL 42,Punt,0.0
