game_id,posteam,fixed_drive,order_sequence,ydstogo,yardline_100,game_seconds_remaining,field_goal_attempt,punt_attempt,kick_distance,epa,wp,season,week,game_date,home_team,away_team,defteam,decision,drive_epa,drive_success_rate,drive_posteam_score_start,drive_posteam_score_end,drive_start_yard_line,fixed_drive_result,drive_points,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6,ydstogo_bin,yardline_bin,off_go_attempts,off_go_conv_rate,def_go_faced,def_go_stop_rate
2021_12_LV_DAL,DAL,28.0,4986.0,4.0,87.0,530.0,0.0,1.0,59.0,0.75028676,0.26305237,2021,12,2021-11-25,DAL,LV,LV,PUNT,-2.457198,0.2,33.0,33.0,DAL 7,Punt,0.0,0.05706681,0.3875363610278939,2.1871212,3-5,81-100,1.0,0.0,,
2021_14_BUF_TB,BUF,26.0,4710.0,4.0,69.0,538.0,0.0,1.0,63.0,0.87743336,0.30981565,2021,14,2021-12-12,TB,BUF,TB,PUNT,-0.9569947,0.2,27.0,27.0,BUF 25,Punt,0.0,-0.17316498,0.4057866325758483,2.0001554,3-5,61-80,1.0,,,
2021_14_SF_CIN,CIN,23.0,4315.0,7.0,23.0,379.0,1.0,0.0,41.0,0.70911175,0.87250304,2021,14,2021-12-12,CIN,SF,SF,FG,1.8454418,0.375,20.0,23.0,CIN 25,Field goal,3.0,0.035424244,0.42395993666827,2.4864995,6-10,21-40,,,2.0,1.0
2021_18_LAC_LV,LV,22.0,4829.0,3.0,22.0,434.0,1.0,0.0,40.0,0.71059835,0.8853904,2021,18,2022-01-09,LV,LAC,LAC,FG,1.4665983,0.5,29.0,32.0,LV 25,Field goal,3.0,-0.13560367,0.4024353548291457,1.7611111,3-5,21-40,2.0,0.0,1.0,1.0
2021_18_PIT_BAL,BAL,28.0,4205.0,9.0,53.0,391.0,0.0,1.0,36.0,-0.1524334,0.33330148,2021,18,2022-01-09,BAL,PIT,PIT,PUNT,-1.4808493,0.3333333333333333,13.0,13.0,BAL 24,Punt,0.0,0.1867928,0.3886562883376609,1.9452602,6-10,41-60,3.0,0.0,1.0,1.0
2021_18_SF_LA,SF,21.0,3948.0,6.0,6.0,168.0,1.0,0.0,24.0,0.03618605,0.99174243,2021,18,2022-01-09,LA,SF,LA,FG,1.5944583,0.5,24.0,27.0,SF 25,Field goal,3.0,0.25949734,0.3686215178396352,2.2198718,6-10,0-20,,,1.0,0.0
2022_01_IND_HOU,HOU,24.0,4327.0,26.0,76.0,518.0,0.0,1.0,52.0,-0.1534155,0.29176688,2022,1,2022-09-11,HOU,IND,IND,PUNT,-2.9122958,0.1666666666666666,20.0,20.0,HOU 40,Punt,0.0,,,,11+,61-80,1.0,0.0,,
2022_01_PIT_CIN,PIT,25.0,4221.0,3.0,68.0,511.0,0.0,1.0,48.0,-0.3446748,0.3093362,2022,1,2022-09-11,CIN,PIT,CIN,PUNT,-2.0932434,0.2,20.0,20.0,PIT 25,Punt,0.0,,,,3-5,61-80,,,,
2022_02_ARI_LV,ARI,17.0,4366.0,1.0,37.0,336.0,0.0,0.0,43.406976744186046,-3.8228126,0.40813726,2022,2,2022-09-18,LV,ARI,LV,GO,-3.1022253,0.4,23.0,23.0,ARI 25,Turnover on downs,0.0,,,,1,21-40,2.0,0.0,3.0,0.6666666666666667
2022_04_NE_GB,GB,23.0,3704.0,7.0,72.0,506.0,0.0,1.0,43.0,-1.5625845,0.31271005,2022,4,2022-10-02,GB,NE,NE,PUNT,-3.4346948,0.0,24.0,24.0,GB 25,Punt,0.0,,,,6-10,61-80,,,4.0,0.75
2022_05_IND_DEN,IND,26.0,4574.0,3.0,30.0,354.0,1.0,0.0,48.0,1.3755212,0.7612116,2022,5,2022-10-06,DEN,IND,DEN,FG,2.0199714,0.4444444444444444,9.0,12.0,IND 25,Field goal,3.0,,,,3-5,21-40,2.0,0.5,,
2022_06_DEN_LAC,DEN,19.0,4106.0,1.0,66.0,512.0,0.0,1.0,58.0,-0.9049878,0.3848221,2022,6,2022-10-17,LAC,DEN,LAC,PUNT,-2.621133,0.2,16.0,16.0,DEN 25,Punt,0.0,,,,1,61-80,1.0,0.0,2.0,1.0
2022_09_TEN_KC,KC,25.0,4450.0,1.0,13.0,313.0,0.0,0.0,43.406976744186046,1.1607538,0.83548903,2022,9,2022-11-06,KC,TEN,TEN,GO,1.8454418,0.4,17.0,20.0,KC 25,Field goal,3.0,1.1114107,0.4465270216595975,2.7295456,1,0-20,2.0,1.0,5.0,0.0
2022_09_TEN_KC,KC,25.0,4547.0,10.0,11.0,247.0,1.0,0.0,28.0,0.1443994,0.96842957,2022,9,2022-11-06,KC,TEN,TEN,FG,1.8454418,0.4,17.0,20.0,KC 25,Field goal,3.0,1.1114107,0.4465270216595975,2.7295456,6-10,0-20,,,2.0,0.5
2022_10_DAL_GB,DAL,24.0,4308.0,3.0,35.0,381.0,0.0,0.0,43.406976744186046,-2.9863663,0.555026,2022,10,2022-11-13,GB,DAL,GB,GO,-2.6005094,0.4545454545454545,28.0,28.0,DAL 25,Turnover on downs,0.0,0.18892534,0.36867196068153,2.1726108,3-5,21-40,1.0,0.0,2.0,1.0
