season,team,ydstogo_bin,yardline_bin,go_attempts,go_conv_rate,side,go_faced,go_stop_rate
2018,MIN,11+,41-60,2.0,0.0,offense,,
2018,ARI,3-5,61-80,1.0,1.0,offense,,
2018,WAS,3-5,21-40,3.0,0.0,offense,,
2018,JAX,1,41-60,2.0,0.5,offense,,
2018,PHI,1,0-20,8.0,0.75,offense,,
2018,PHI,6-10,21-40,2.0,0.0,offense,,
2018,GB,2,41-60,2.0,0.0,offense,,
2018,LAC,6-10,0-20,1.0,0.0,offense,,
2018,HOU,6-10,61-80,1.0,1.0,offense,,
2018,PIT,6-10,21-40,1.0,0.0,offense,,
2018,KC,1,0-20,4.0,0.5,offense,,
2018,GB,3-5,21-40,5.0,0.4,offense,,
2018,ATL,3-5,41-60,1.0,0.0,offense,,
2018,CIN,6-10,21-40,2.0,0.5,offense,,
2018,LV,6-10,0-20,2.0,0.5,offense,,
2018,DEN,1,21-40,3.0,1.0,offense,,
2018,KC,1,41-60,3.0,1.0,offense,,
2018,MIA,2,41-60,1.0,1.0,offense,,
2018,NO,2,61-80,1.0,1.0,offense,,
2018,NO,6-10,0-20,1.0,0.0,offense,,
2018,JAX,1,0-20,4.0,0.5,offense,,
2018,IND,6-10,0-20,3.0,0.0,offense,,
2018,JAX,2,21-40,1.0,1.0,offense,,
2018,BUF,3-5,21-40,2.0,0.0,offense,,
2018,WAS,1,61-80,3.0,0.3333333333333333,offense,,
2018,MIN,2,41-60,1.0,0.0,offense,,
2018,ARI,1,0-20,2.0,0.0,offense,,
2018,ARI,11+,41-60,3.0,0.0,offense,,
2018,DET,1,0-20,2.0,1.0,offense,,
2018,LA,6-10,41-60,2.0,0.0,offense,,
2018,LV,2,41-60,1.0,0.0,offense,,
2018,CIN,3-5,21-40,1.0,1.0,offense,,
2018,WAS,3-5,41-60,1.0,,offense,,
2018,WAS,3-5,0-20,1.0,1.0,offense,,
2018,BUF,6-10,21-40,1.0,0.0,offense,,
2018,DEN,6-10,41-60,2.0,0.5,offense,,
2018,SF,3-5,0-20,1.0,0.0,offense,,
2018,PIT,1,41-60,5.0,0.6,offense,,
2018,DAL,6-10,0-20,1.0,0.0,offense,,
2018,DET,2,21-40,1.0,1.0,offense,,
2018,LAC,1,0-20,2.0,1.0,offense,,
2018,LV,3-5,0-20,1.0,0.0,offense,,
2018,CIN,1,21-40,3.0,0.3333333333333333,offense,,
2018,ATL,2,0-20,2.0,1.0,offense,,
2018,DET,1,41-60,1.0,0.0,offense,,
2018,CAR,2,0-20,1.0,0.0,offense,,
2018,TB,11+,61-80,2.0,0.0,offense,,
2018,LA,6-10,61-80,1.0,1.0,offense,,
2018,PHI,3-5,0-20,1.0,1.0,offense,,
2018,ARI,2,61-80,1.0,1.0,offense,,
2018,NO,3-5,21-40,1.0,0.0,offense,,
2018,MIN,6-10,61-80,1.0,0.0,offense,,
2019,PIT,1,41-60,2.0,0.0,offense,,
2019,SF,2,21-40,3.0,0.3333333333333333,offense,,
2019,CLE,2,61-80,1.0,0.0,offense,,
2019,PHI,2,21-40,3.0,0.3333333333333333,offense,,
2019,BUF,3-5,0-20,2.0,0.0,offense,,
2019,DEN,3-5,0-20,1.0,1.0,offense,,
2019,CLE,2,21-40,2.0,0.0,offense,,
2019,NYJ,3-5,41-60,2.0,0.0,offense,,
2019,WAS,6-10,21-40,2.0,0.5,offense,,
2019,TEN,2,41-60,1.0,0.0,offense,,
2019,GB,1,21-40,5.0,0.6,offense,,
2019,SEA,1,21-40,4.0,0.25,offense,,
2019,CIN,1,0-20,2.0,0.5,offense,,
2019,BAL,3-5,21-40,5.0,0.6,offense,,
2019,DEN,1,0-20,3.0,1.0,offense,,
2019,LAC,11+,41-60,1.0,1.0,offense,,
2019,SEA,3-5,0-20,4.0,0.25,offense,,
2019,NYG,3-5,0-20,2.0,0.5,offense,,
2019,NE,3-5,21-40,4.0,0.25,offense,,
2019,KC,6-10,61-80,1.0,1.0,offense,,
2019,LAC,3-5,21-40,1.0,0.0,offense,,
2019,CHI,1,41-60,3.0,0.6666666666666666,offense,,
2019,BUF,1,0-20,2.0,1.0,offense,,
2019,LA,6-10,21-40,3.0,0.0,offense,,
