game_id,season,week,game_date,home_team,away_team,posteam,defteam,qtr,game_seconds_remaining,yardline_100,ydstogo,score_differential,roof,temp,wind,shotgun,no_huddle,epa,wp,decision,kick_distance,punt_attempt,field_goal_attempt,drive,fixed_drive,order_sequence,play_id,ydstogo_bin,yardline_bin,go_conv_rate,go_attempts,go_stop_rate,go_faced,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6
2023_16_LV_KC,2023,16,2023-12-25,KC,LV,KC,LV,2.0,1963.0,52.0,5.0,-10.0,outdoors,38.0,11.0,0.0,0.0,2.4396408,0.18768473,GO,43.65204991087344,0.0,0.0,11.0,11.0,1871.0,1871.0,3-5,41-60,0.6666666666666666,3.0,0.75,4.0,-0.6426365,0.3616537359245693,1.6757575
2023_16_LV_KC,2023,16,2023-12-25,KC,LV,KC,LV,3.0,1227.0,43.0,5.0,-10.0,outdoors,38.0,11.0,1.0,0.0,-2.774233,0.17302887,GO,43.65204991087344,0.0,0.0,14.0,14.0,2680.0,2680.0,3-5,41-60,0.6666666666666666,3.0,0.75,4.0,-0.6426365,0.3616537359245693,1.6757575
2022_17_MIN_GB,2022,17,2023-01-01,GB,MIN,MIN,GB,1.0,3341.0,2.0,2.0,0.0,outdoors,39.0,7.0,0.0,0.0,0.029911412,0.5422001,FG,21.0,0.0,1.0,3.0,3.0,321.0,321.0,2,0-20,0.0,1.0,1.0,1.0,0.49904838,0.3901060709772831,2.5189393
2022_18_ARI_SF,2022,18,2023-01-08,SF,ARI,ARI,SF,4.0,737.0,31.0,5.0,-25.0,outdoors,57.0,2.0,1.0,0.0,-3.304833,0.0016420597,GO,43.65204991087344,0.0,0.0,19.0,19.0,3076.0,3076.0,3-5,21-40,0.25,4.0,0.6666666666666667,3.0,0.40651312,0.415828086756117,2.436642
2023_01_PHI_NE,2023,1,2023-09-10,NE,PHI,NE,PHI,3.0,1738.0,69.0,4.0,-2.0,outdoors,,,0.0,0.0,-0.43824717,0.41766933,PUNT,65.0,1.0,0.0,15.0,15.0,2423.0,2423.0,3-5,61-80,,,1.0,1.0,,,
2023_02_CLE_PIT,2023,2,2023-09-18,PIT,CLE,PIT,CLE,4.0,182.0,69.0,4.0,4.0,outdoors,,,0.0,0.0,-0.40304238,0.7012815,PUNT,44.0,1.0,0.0,27.0,27.0,4320.0,4320.0,3-5,61-80,0.0,1.0,1.0,2.0,,,
2023_03_NYG_SF,2023,3,2023-09-21,SF,NYG,SF,NYG,3.0,1152.0,3.0,3.0,5.0,outdoors,77.0,13.0,0.0,0.0,0.04191916,0.8146155,FG,21.0,0.0,1.0,13.0,13.0,2894.0,2894.0,3-5,0-20,0.0,1.0,1.0,2.0,,,
2023_06_ARI_LA,2023,6,2023-10-15,LA,ARI,ARI,LA,2.0,2251.0,36.0,1.0,3.0,dome,,,0.0,0.0,-1.4117433,0.58193123,GO,43.65204991087344,0.0,0.0,8.0,8.0,1448.0,1448.0,1,21-40,0.5,4.0,0.2222222222222222,9.0,,,
2023_11_PIT_CLE,2023,11,2023-11-19,CLE,PIT,PIT,CLE,3.0,1384.0,80.0,3.0,-3.0,outdoors,48.0,11.0,0.0,0.0,-0.24532843,0.28851417,PUNT,48.0,1.0,0.0,13.0,13.0,2438.0,2438.0,3-5,61-80,0.0,1.0,1.0,2.0,-0.63050586,0.3345018397213138,1.6138779
2023_12_CLE_DEN,2023,12,2023-11-26,DEN,CLE,DEN,CLE,3.0,1698.0,69.0,4.0,8.0,outdoors,40.0,5.0,0.0,0.0,0.17520803,0.80415916,PUNT,48.0,1.0,0.0,11.0,11.0,2420.0,2420.0,3-5,61-80,0.6666666666666666,3.0,1.0,2.0,-0.4282407,0.3405468749330158,1.7559719
2023_06_ARI_LA,2023,6,2023-10-15,LA,ARI,ARI,LA,1.0,2840.0,53.0,15.0,3.0,dome,,,0.0,0.0,-1.7956437,0.4841179,PUNT,41.0,1.0,0.0,3.0,3.0,670.0,670.0,11+,41-60,0.0,5.0,1.0,2.0,,,
2023_06_ARI_LA,2023,6,2023-10-15,LA,ARI,ARI,LA,2.0,2618.0,60.0,11.0,0.0,dome,,,0.0,0.0,5.8436003,0.37377718,PUNT,45.0,1.0,0.0,5.0,5.0,1060.0,1060.0,11+,41-60,0.0,5.0,1.0,2.0,,,
2023_06_ARI_LA,2023,6,2023-10-15,LA,ARI,ARI,LA,4.0,218.0,52.0,13.0,-17.0,dome,,,1.0,0.0,0.32605404,0.0011858145,GO,43.65204991087344,0.0,0.0,20.0,20.0,3854.0,3854.0,11+,41-60,0.0,5.0,1.0,2.0,,,
2023_08_CLE_SEA,2023,8,2023-10-29,SEA,CLE,SEA,CLE,1.0,2762.0,13.0,11.0,7.0,outdoors,47.0,3.0,0.0,0.0,0.18868339,0.8155246,FG,32.0,0.0,1.0,6.0,6.0,1051.0,1051.0,11+,0-20,0.0,1.0,,,-0.74929947,0.3523549729397068,1.6357394
2023_09_TEN_PIT,2023,9,2023-11-02,PIT,TEN,TEN,PIT,1.0,2872.0,18.0,13.0,-7.0,outdoors,40.0,5.0,0.0,0.0,0.37863064,0.30626765,FG,36.0,0.0,1.0,2.0,2.0,844.0,844.0,11+,0-20,,,,,-0.7614436,0.321675679913952,1.2515637
2023_03_NO_GB,2023,3,2023-09-24,GB,NO,NO,GB,2.0,1875.0,36.0,1.0,14.0,outdoors,68.0,10.0,0.0,0.0,1.5110111,0.8851116,GO,43.65204991087344,0.0,0.0,8.0,8.0,1897.0,1897.0,1,21-40,1.0,2.0,0.0,5.0,,,
2023_03_NYG_SF,2023,3,2023-09-21,SF,NYG,SF,NYG,1.0,2753.0,50.0,2.0,0.0,outdoors,77.0,13.0,0.0,0.0,-0.26764563,0.5018333,PUNT,43.0,1.0,0.0,3.0,3.0,876.0,876.0,2,41-60,,,,,,,
2023_03_NYG_SF,2023,3,2023-09-21,SF,NYG,SF,NYG,4.0,205.0,44.0,2.0,18.0,outdoors,77.0,13.0,0.0,0.0,-0.2075672,0.9990835,PUNT,39.0,1.0,0.0,19.0,19.0,4068.0,4068.0,2,41-60,,,,,,,
2023_09_MIN_ATL,2023,9,2023-11-05,ATL,MIN,MIN,ATL,3.0,1221.0,70.0,5.0,-8.0,open,,,0.0,0.0,0.2442008,0.13403039,PUNT,52.0,1.0,0.0,17.0,17.0,2959.0,2959.0,3-5,61-80,0.5,2.0,1.0,1.0,-0.84867054,0.3486785371832799,1.2745671
2023_09_NYG_LV,2023,9,2023-11-05,LV,NYG,LV,NYG,2.0,2488.0,72.0,2.0,7.0,dome,,,0.0,0.0,-0.09155725,0.75550413,PUNT,69.0,1.0,0.0,6.0,6.0,1118.0,1118.0,2,61-80,,,,,-1.2442582,0.359045399110175,0.8175926
2023_09_NYG_LV,2023,9,2023-11-05,LV,NYG,LV,NYG,4.0,302.0,64.0,2.0,24.0,dome,,,0.0,0.0,-0.5408931,0.99972194,PUNT,64.0,1.0,0.0,22.0,22.0,3493.0,3493.0,2,61-80,,,,,-1.2442582,0.359045399110175,0.8175926
2023_10_DET_LAC,2023,10,2023-11-12,LAC,DET,LAC,DET,1.0,3118.0,30.0,2.0,-3.0,dome,,,0.0,0.0,1.3858479,0.4535926,FG,48.0,0.0,1.0,3.0,3.0,550.0,550.0,2,21-40,0.5,2.0,1.0,1.0,-0.08780575,0.4038696621016139,2.150505
2023_10_GB_PIT,2023,10,2023-11-12,PIT,GB,GB,PIT,2.0,1962.0,48.0,4.0,-4.0,outdoors,50.0,5.0,0.0,0.0,-0.48935634,0.3506963,PUNT,39.0,1.0,0.0,8.0,8.0,1903.0,1903.0,3-5,41-60,0.0,3.0,1.0,2.0,-0.36018825,0.3270491805131471,1.4761008
2023_12_CLE_DEN,2023,12,2023-11-26,DEN,CLE,DEN,CLE,4.0,263.0,16.0,2.0,12.0,outdoors,40.0,5.0,0.0,0.0,0.2753832,0.9917054,FG,34.0,0.0,1.0,19.0,19.0,4119.0,4119.0,2,0-20,0.6,5.0,,,-0.4282407,0.3405468749330158,1.7559719
2023_16_LV_KC,2023,16,2023-12-25,KC,LV,KC,LV,3.0,1426.0,70.0,1.0,-10.0,outdoors,38.0,11.0,0.0,0.0,2.4224772,0.16567676,GO,43.65204991087344,0.0,0.0,14.0,14.0,2540.0,2540.0,1,61-80,1.0,2.0,0.6666666666666667,3.0,-0.6426365,0.3616537359245693,1.6757575
2022_17_IND_NYG,2022,17,2023-01-01,NYG,IND,NYG,IND,4.0,803.0,26.0,3.0,21.0,outdoors,52.0,14.0,0.0,0.0,2.5405786,0.99603456,GO,43.65204991087344,0.0,0.0,14.0,14.0,2893.0,2893.0,3-5,21-40,0.0,2.0,1.0,3.0,-1.0963732,0.3701454868990519,1.4029583
2023_01_DET_KC,2023,1,2023-09-07,KC,DET,KC,DET,3.0,1681.0,61.0,8.0,7.0,outdoors,,,0.0,0.0,0.7625931,0.7625504,PUNT,54.0,1.0,0.0,10.0,10.0,2166.0,2166.0,6-10,61-80,,,1.0,1.0,,,
